author,content,date_time,id,language,number_of_likes,number_of_shares
shakira,Con mi primita Adri por el Sena! Shak https://t.co/sMh5l0iZEC,29/06/2016 23:01,7.48E+17,es,7339,915
shakira,Wonder where he gets it from... / Nos preguntamos a quién salió… ShakHQ https://t.co/DdmJ5BJaon,29/06/2016 18:23,7.48E+17,es,12352,2847
shakira,.@carlosvives consolando a Milan ante el gol de Italia. Shak https://t.co/ZUgaL2OIZO,29/06/2016 16:03,7.48E+17,es,9011,2101
shakira,Es la primera Eurocopa en la que marca una pareja Piqué y Shaqiri!!!,25/06/2016 17:39,7.47E+17,es,8586,5618
shakira,No es momento de bajar los brazos sino de seguir luchando por la igualdad de oportunidades https://t.co/AZuhoZU5H3 Shak,23/06/2016 12:37,7.46E+17,es,4426,1181
shakira,"Más de 4,000 personas en Argentina bailando la coreografía de @zumba de #LaBicicleta con @ZumbaBeto!
ShakHQ
https://t.co/2ODbI5Igq8",22/06/2016 16:59,7.46E+17,es,4904,1027
shakira,"En ""la Bicicleta"" por un rincón de Francia! On my ""Bicicleta"" in the French countryside! Shak https://t.co/a0Qv3LpHuL",19/06/2016 20:34,7.45E+17,es,14180,2338
shakira,A semifinales! ⚽️ Vamos Colombia! ❤️🇨🇴,18/06/2016 13:56,7.44E+17,es,7658,2073
shakira,Presupuesto permanente aprobado por el Senado para la primera infancia en Colombia https://t.co/Dvzz1DkKyv,16/06/2016 21:47,7.44E+17,es,2962,594
shakira,"Gol de Piqué, gol de España! Shak https://t.co/Xg7FPCSJHK",13/06/2016 15:37,7.42E+17,es,9595,3105
shakira,Celebrando el gol de papa con La Roja!! https://t.co/g9rKp3OROq,13/06/2016 15:13,7.42E+17,es,12461,3923
shakira,Try Everything de #Zootopia está nominada en los @TeenChoiceFOX! https://t.co/8T9HS06yYt ShakHQ #ChoiceMovieTVSong! https://t.co/72GiYhpljL,11/06/2016 19:10,7.42E+17,es,2186,555
shakira,NUEVO VIDEO! Canten utilizando el nuevo video con la letra de #LaBicicleta de @carlosvives y Shak! https://t.co/IEmCYHQ9Ci ShakHQ 🚲🎤,10/06/2016 15:41,7.41E+17,es,1742,514
shakira,"Wow! 4,000 personas bailando la coreografía oficial de @zumba de #LaBicicleta con @ZumbaBeto​! https://t.co/QmDCniKQ46 ShakHQ",08/06/2016 19:32,7.41E+17,es,2486,577
shakira,#LaBicicleta Número uno! ShakHQ 🚲 https://t.co/PcPYLtt5dI,07/06/2016 15:07,7.40E+17,es,3290,808
shakira,".@el_pais: ""‘La bicicleta’: la canción del verano llega desde el Caribe colombiano"" https://t.co/HXXLUzX9Bj ShakHQ @carlosvives",03/06/2016 15:44,7.39E+17,es,3093,691
shakira,Seguimos buscando las mejores iniciativas en #PrimeraInfancia! Postúlate antes de Jul 31 #PremiosALASBID @MorenoBID https://t.co/lVDAgAn7Ib,02/06/2016 14:39,7.38E+17,es,1758,445
shakira,"Gracias a todos por hacer La Bicicleta 🚲 un hit viral, esto va “sobre ruedas” Shak https://t.co/bUPSltNrnz",02/06/2016 11:36,7.38E+17,es,3682,890
shakira,Listen to #LaBicicleta / Ya pueden escuchar #LaBicicleta en @Spotify https://t.co/3VAWYQks9O ShakHQ🚲,01/06/2016 20:47,7.38E+17,es,1999,556
shakira,"No se pierdan #LaBicicleta - el nuevo sencillo de @CarlosVives y Shak - ya disponible en descarga y stream! ShakHQ🚲
https://t.co/oBtzP6iVng",31/05/2016 18:53,7.38E+17,es,3910,1053
shakira,El video Try Everything de #Zootopia ya tiene 100M de ▶️! Es el 13ro video certificado de Shakira en @Vevo! https://t.co/TVVArw03nB ShakHQ,30/05/2016 16:55,7.37E+17,es,2564,650
shakira,Junior tu papá! #LaBicicleta https://t.co/nh4UVFnMzo 🚲 #videoshoot https://t.co/Trcu1YOtqU,28/05/2016 23:09,7.37E+17,es,12278,3699
shakira,"Ya está aquí la bicicleta! Colombia, verano, Vives, lo mejor de mi tierra! Shak #LaBicicleta @carlosvives",27/05/2016 14:41,7.36E+17,es,3691,1214
shakira,EL NUEVO SENCILLO YA ESTÁ AQUÍ! #LaBicicleta de @carlosvives y Shakira. iTunes: https://t.co/nh4UVFnMzo https://t.co/2mdRKqQ5Rs ShakHQ 🚲,27/05/2016 12:20,7.36E+17,es,2678,1138
shakira,Para celebrar el lanzamiento de la canción #LaBicicleta de mañana hoy un #tbt de Shak y Gerard en 🚲 en 2013 ShakHQ https://t.co/hhVAvhO9Lj,26/05/2016 21:48,7.36E+17,es,9220,1439
shakira,Nos encanta este arte de @alcantaramanuel del sencillo de @carlosvives y Shak #LaBicicleta (llega este Viernes) SHQ https://t.co/5YdnshD1Yc,25/05/2016 15:38,7.35E+17,es,2479,631
shakira,Votación histórica! Shak  https://t.co/NMuOQGmLJD,24/05/2016 22:42,7.35E+17,es,1860,523
shakira,Feliz con la aprobación en el Congreso de la Ley por la Primera Infancia! 57 de 58 votos!! Shak,24/05/2016 22:33,7.35E+17,es,3126,852
shakira,"Óyeme Carlos llévame en tu bicicleta, que si a Pique algún día le muestras el Tairona después no querrá irse pa' BCN https://t.co/PdO6rtZjbL",24/05/2016 22:21,7.35E+17,es,4048,1499
shakira,"Shakira: ""La paz es más que una firma, es un compromiso de voluntades donde la base de todo es la igualdad"" https://t.co/ag4Vxf9Yij ShakHQ",22/05/2016 13:33,7.34E+17,es,3368,1217
shakira,"""#LaBicicleta es una canción que nos representa a los dos"". Vean la rueda de prensa de ayer de Shakira https://t.co/ag4Vxf9Yij  ShakHQ",22/05/2016 13:30,7.34E+17,es,2210,681
shakira,"""Es una tragedia humana lo que está ocurriendo en La Guajira""
https://t.co/bISYXgbyyC",21/05/2016 23:41,7.34E+17,es,2144,787
shakira,"""La igualdad, es la base de una Paz en Colombia"" https://t.co/iGU79ENnJ5",21/05/2016 22:05,7.34E+17,es,2558,798
shakira,"""La paz es más que una firma, es un compromiso de voluntades donde la base de todo es la igualdad"" https://t.co/mCDzQFjIjm",21/05/2016 22:03,7.34E+17,es,3302,1026
shakira,Shakira aboga por la niñez y la educación en Colombia  https://t.co/uuWE3ufnlT,21/05/2016 22:02,7.34E+17,es,2865,739
shakira,"Empezando el recorrido en ""la bicicleta / Going for a ride on #laBicicleta🚲  @carlosvives https://t.co/Cm7Zj697Ro",20/05/2016 17:29,7.34E+17,es,9626,2073
